,Company,Cities,Year of starting,FOUNDERS,Industries,Funding amount,Funding rounds,No of employees,No of investors
14,) CityMall, Gurgaon, 2019,"Angad Kikla, Divij Goyal, Naisheel Verdhan",Consumer,"37,100,000",Number of funding rounds: 5,101-250,Number of investors: 14
15,) Pine Labs, Noida, 1998,"Rajul Garg, Tarun Upaday",Financial,"423,238,799",Number of funding rounds: 8,1001-5000,Number of investors: 15
16,) Dodla Dairy, Hyderabad, 1995,D. Sunil Reddy,Consumer,"71,276,176",Number of funding rounds: 3,501-1000,Number of investors: 13
17,) Groww, Bengaluru, 2017,"Harsh Jain, ",Financial,"142,262,674",Number of funding rounds: 6,251-500,Number of investors: 16
18,) Grofers, Gurgaon, 2013,"Albinder Dhindsa, Saurabh Kumar",Delivery,"662,398,135",Number of funding rounds: 13,1001-5000,Number of investors: 13
19,) Jumbotail, Bengaluru, 2015,"Ashish Jhina, Karthik Venkateswaran",E-Commerce,"55,345,400",Number of funding rounds: 8,101-250,Number of investors: 20
20,) slice, Bengaluru, 2016,"Deepak Malhotra, Rajan Bajaj",Banking,"53,665,909",Number of funding rounds: 8,251-500,Number of investors: 20
21,) InMobi, Bengaluru, 2007,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah",Advertising,"320,600,000",Number of funding rounds: 7,501-1000,Number of investors: 6
22,) Dunzo, Bengaluru, 2015,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha",Delivery,"128,399,438",Number of funding rounds: 15,1001-5000,Number of investors: 24
23,) BYJU, Bengaluru, 2011,"Byju Raveendran, Divya Gokulnath",E-Learning,"2,745,964",Number of funding rounds: 18,251-500,Number of investors: 38
24,) Cashfree, Bengaluru, 2015,"Akash Sinha, Reeju Datta",Finance,"40,920,000",Number of funding rounds: 4,1001-5000,Number of investors: 6
25,) MediBuddy, Bengaluru, 2000,Satish Kannan,Health,"67,132,379",Number of funding rounds: 5,11-50,Number of investors: 12
26,) Progcap, Delhi, 2017,Pallavi Shrivastava,Enterprise,"32,324,325",Number of funding rounds: 4,51-100,Number of investors: 9
27,) Capital Float, Bengaluru, 2013,"Gaurav Hinduja, Sashank Rishyasringa",B2B,"150,417,120",Number of funding rounds: 11,1001-5000,Number of investors: 12
28,) CARS24, Gurgaon, 2015,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra",Artificial,"393,848,044",Number of funding rounds: 5,501-1000,Number of investors: 21
29,) Bharat Biotech, Hyderabad, 1996,"Krishna Ella, Suchitra Ella",BiotechnologyNumber,"14,100,000",Number of funding rounds: 3,11-50,Number of investors: 3
30,) Skillmatics, Mumbai, 2016,"Devanshi Kejriwal, Dhvanil Sheth",Children,"7,419,353",Number of funding rounds: 2,1001-5000,Number of investors: 2
31,) Rapido, Bengaluru, 2015,"Aravind Sanka, Pavan Guntupalli, Rishikesh SR",Information,"121,996,807",Number of funding rounds: 9,101-250,Number of investors: 32
32,) Reliance Jio, Mumbai, 2010,Mukesh Ambani,Apps,"24,767,620",Number of funding rounds: 16,11-50,Number of investors: 35
33,) YourStory, Bengaluru, 2008,Shradha Sharma,Information,"8,469,522",Number of funding rounds: 3,5001-10000,Number of investors: 6
34,) Kodo, Mumbai, 2019,"Deepti Sanghi, Gaurav Thapa",B2B,"8,736,466",Number of funding rounds: 2,11-50,Number of investors: 5
35,) Practo, Bengaluru, 2008,"Abhinav Lal, Shashank ND",Health,"228,246,376",Number of funding rounds: 7,251-500,Number of investors: 14
36,) NiYO Solutions, Bengaluru, 2015,Virender Bisht,Finance,"49,200,000",Number of funding rounds: 3,1001-5000,Number of investors: 5
37,) Reliance Retail, Mumbai, 2006,Mukesh Ambani,Consumer,"6,419,310",Number of funding rounds: 6,101-250,Number of investors: 8
38,) Locus.sh, Bengaluru, 2015,"Geet Garg, Nishith Rastogi",Big,"78,750,000",Number of funding rounds: 6,251-500,Number of investors: 25
39,) KreditBee, Bengaluru, 2018,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong",Financial,"116,258,656",Number of funding rounds: 3,1001-5000,Number of investors: 7
40,) boAt, Delhi, 2016,"Aman Gupta, Sameer Mehta",Consumer,"9,009,184",Number of funding rounds: 6,11-50,Number of investors: 5
41,) Flipkart, Bengaluru, 2007,"Binny Bansal, Sachin Bansal",E-Commerce,"165,518,505",Number of funding rounds: 24,51-100,Number of investors: 24
42,) MobiKwik, Gurgaon, 2009,"Bipin Singh, Chandan Joshi, Upasana Taku",Consumer,"64,495,265",Number of funding rounds: 15,51-100,Number of investors: 26
43,) Cuemath, Bengaluru, 2013,Manan Khurma,E-Learning,"35,400,000",Number of funding rounds: 5,1001-5000,Number of investors: 8
44,) Jai Kisan, Mumbai, 2017,"Adriel Maniego, Arjun Ahluwalia",Agriculture,"161,545,747",Number of funding rounds: 5,101-250,Number of investors: 18
45,) Infra.Market, Thane, 2016,"Aaditya Sharda, Souvik Sengupta",Construction,"277,583,000",Number of funding rounds: 7,501-1000,Number of investors: 8
46,) Xpressbees, Pune, 2015,"Amitava Saha, Supam Maheshwari",Delivery,"383,626,249",Number of funding rounds: 8,1001-5000,Number of investors: 11
47,) Northern Arc, Chennai, 2008,Kshama Fernandes,Enterprise,"112,087,670",Number of funding rounds: 11,101-250,Number of investors: 12
48,) Toppr, Mumbai, 2013,"Hemanth Goteti, Zishaan Hayath",E-Learning,"56,035,717",Number of funding rounds: 11,501-1000,Number of investors: 14
49,) MyGlamm, Mumbai, 2015,"Darpan Sanghvi, Priyanka Gill",Beauty,"274,145,634",Number of funding rounds: 8,11-50,Number of investors: 14
50,) ZoomCar, Bengaluru, 2012,"David Back, Greg Moran",Automotive,"1,776,260",Number of funding rounds: 20,1001-5000,Number of investors: 36
51,) Snapdeal, Gurgaon, 2010,"Kunal Bahl, Rohit Bansal",Consumer,"11,294,388",Number of funding rounds: 13,11-50,Number of investors: 26
52,) WhiteHat Education Technology, Andheri, 2018,Karan Bajaj,EducationNumber,"247,500,000",Number of funding rounds: 2,51-100,Number of investors: 3
53,) CarDekho, Gurgaon, 2007,"Amit Jain, Anurag Jain",Automotive,"33,997,488",Number of funding rounds: 7,101-250,Number of investors: 14
54,) Koo App, Bengaluru, 2020,"Aprameya Radhakrishna, Mayank Bidawatka",Apps,"32,070,087",Number of funding rounds: 3,1001-5000,Number of investors: 10
55,) Porter, Bengaluru, 2014,"Pranav Goel, Uttam Digga, Vikas Choudhary",E-Commerce,"14,938,971",Number of funding rounds: 6,251-500,Number of investors: 6
56,) Skyroot Aerospace, Hyderabad, 2018,"Naga Bharath Daka, Pawan Kumar Chandana",Aerospace,"27,307,486",Number of funding rounds: 3,1001-5000,Number of investors: 9
57,) Holisol logistics, Delhi, 2009,"Manish Ahuja, Naveen Rawat, Rahul Dogar",Business,"12,294,124",Number of funding rounds: 5,501-1000,Number of investors: 4
58,) Exotel, Bengaluru, 2011,Shivakumar Ganesan,Cloud,"307,351,129",Number of funding rounds: 4,501-1000,Number of investors: 8
59,) CarTrade, Mumbai, 2009,Vinay Sanghi,Auctions,"37,400,000",Number of funding rounds: 8,101-250,Number of investors: 9
60,) OPEN, Bengaluru, 2017,"Ajeesh Achuthan, Anish Achuthan, Deena Jacon, Mabel Chacko",Banking,"254,425,980",Number of funding rounds: 5,51-100,Number of investors: 13
61,) InCred, Mumbai, 2016,Bhupinder Singh,Banking,"245,341,627",Number of funding rounds: 8,101-250,Number of investors: 17
62,) Pepperfry, Mumbai, 2011,"Ambareesh Murty, Ashish Shah",E-Commerce,"119,680,000",Number of funding rounds: 9,11-50,Number of investors: 8
63,) Shadowfax, Bengaluru, 2015,"Abhishek Bansal, Vaibhav Khandelwal",Delivery,"14,128,602",Number of funding rounds: 6,101-250,Number of investors: 13
64,) The Man Company, Gurgaon, 2015,"Bhisham Bhateja, Hitesh Dhingra, Parvesh Kumar",Beauty,"14,543,144",Number of funding rounds: 6,101-250,Number of investors: 5
65,) Agnikul, Chennai, 2017,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran",Aerospace,"19,879,176",Number of funding rounds: 4,1001-5000,Number of investors: 17
66,) Shop101, Mumbai, 2015,"Abhinav Jain, Aditya Gupta, Kalpak Chhajed",Apps,"20,645,163",Number of funding rounds: 3,51-100,Number of investors: 6
67,) Plum, Bengaluru, 2019,"Abhishek Poddar, Saurabh Arora",Employee,"9,653,620",Number of funding rounds: 5,501-1000,Number of investors: 23
68,) Pee Safe, Gurgaon, 2013,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria",Consumer,"479,575,960",Number of funding rounds: 6,501-1000,Number of investors: 16
69,) cure.fit, Bengaluru, 2016,"Ankit Nagori, Mukesh Bansal",Apps,"341,858,615",Number of funding rounds: 10,501-1000,Number of investors: 33
70,) Nykaa, Mumbai, 2012,Falguni Nayar,Beauty,"214,452,563",Number of funding rounds: 13,101-250,Number of investors: 15
71,) NoBroker, Bengaluru, 2014,"Akhil Gupta, Amit Agarwal",Commercial,"671,538,857",Number of funding rounds: 10,51-100,Number of investors: 13
72,) PharmEasy, Mumbai, 2015,"Dharmil Sheth, Dhaval Shah, Mikhil ",Health,"193,125,171",Number of funding rounds: 9,101-250,Number of investors: 26
73,) OfBusiness, Gurgaon, 2015,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar",Financial,"65,966,878",Number of funding rounds: 7,51-100,Number of investors: 13
74,) LEAD School, Mumbai, 2012,"Smita Deorah, Sumeet Mehta",E-Learning,"29,000,000",Number of funding rounds: 4,1001-5000,Number of investors: 3
75,) Upstox, Mumbai, 2010,"Raghu Kumar, Shrinivas Viswanath",Financial,"20,000,000",Number of funding rounds: 2,5001-10000,Number of investors: 3
76,) Teachmint, Bengaluru, 2020,"Anshuman Kumar, Divyansh Bordia, Mihir Gupta, Payoj Jain",E-Learning,"68,373,925",Number of funding rounds: 3,251-500,Number of investors: 5
77,) ZestMoney, Bengaluru, 2015,"Ashish Anantharaman, Lizzie Chapman, Priya Sharma",Big,"13,000,000",Number of funding rounds: 9,11-50,Number of investors: 15
78,) Convosight, Delhi, 2019,"Kartik Bansal, Tamanna Dhamija, Tarun Dhamija",SaaS,"101,691,508",Number of funding rounds: 2,251-500,Number of investors: 5
79,) Livspace, Bengaluru, 2014,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",E-Commerce,"342,349,901",Number of funding rounds: 8,1-10,Number of investors: 17
80,) Rebel Foods, Pune, 2011,"Jaydeep Barman, Kallol Banerjee",E-Commerce,"126,900,000",Number of funding rounds: 20,11-50,Number of investors: 19
81,) Spinny, Gurgaon, 2015,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur",E-Commerce,"4,200,835",Number of funding rounds: 5,501-1000,Number of investors: 13
82,) Synapsica, Delhi, 2018,"Cherian Dr, Gandharv Goyal, Kuldeep Singh Chauhan, Meenakshi Singh",Artificial,"49,286,284",Number of funding rounds: 4,501-1000,Number of investors: 5
83,) DeHaat, City, 2012,"Amrendra Singh, Shashank Kumar",Agriculture,"7,483,079",Number of funding rounds: 5,101-250,Number of investors: 8
84,) Masai School, Bengaluru, 2019,Prateek Shukla,E-Learning,"9,357,626",Number of funding rounds: 3,11-50,Number of investors: 4
85,) Wysa, Bengaluru, 2015,"Jo Aggarwal, Ramakant Vempati",Artificial,"41,884,162",Number of funding rounds: 4,251-500,Number of investors: 9
86,) Magicpin, Gurgaon, 2015,"Anshoo Sharma, Brij Bhushan",E-Commerce,"102,210,000",Number of funding rounds: 7,11-50,Number of investors: 12
87,) Ather Energy, Bengaluru, 2013,"Arun Vinayak, Swapnil Jain, Tarun Mehta",Automotive,"16,950,000",Number of funding rounds: 5,11-50,Number of investors: 5
88,) Trell, Bengaluru, 2016,"Arun Lodhi, Bimal Kartheek Rebba, Prashant Sachan, Pulkit Agrawal",Lifestyle,"24,000,000",Number of funding rounds: 7,1-10,Number of investors: 31
89,) Convin, Bengaluru, 2019,"Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary",Analytics,"23,313,960",Number of funding rounds: 1,501-1000,Number of investors: 7
90,) Yellow Messenger, Bengaluru, 2016,"Anik Das, Jaya Kishore Reddy Gollareddy, Raghu Kumar, Rashid Khan",Artificial,"38,519,469",Number of funding rounds: 3,101-250,Number of investors: 3
91,) Mamaearth, Gurgaon, 2016,Varun Alagh,E-Commerce,"3,000,000",Number of funding rounds: 5,1001-5000,Number of investors: 8
92,) Milkbasket, Haryana, 2014,"Anant Goel, Anurag Jain, Ashish Goel, Yatish Talavdia",Delivery,"114,896,667",Number of funding rounds: 11,101-250,Number of investors: 18
93,) Bimaplan, Bengaluru, 2020,"Ashish Goel, Rajiv Srivatsa",Financial,"17,000,000",Number of funding rounds: 2,101-250,Number of investors: 27
94,) Urban Ladder, Bengaluru, 2012,"Adarsh Kumar, Arya Gautam, Rupesh Mishra",E-Commerce,"28,188,461",Number of funding rounds: 9,1001-5000,Number of investors: 10
95,) PagarBook, Bengaluru, 2019,Vijay Shekhar Sharma,Apps,"84,200,000",Number of funding rounds: 2,1001-5000,Number of investors: 4
96,) Paytm Payments Bank, Delhi, 2017,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna",Banking,"93,649,358",Number of funding rounds: 2,251-500,Number of investors: 2
97,) OkCredit, Faridabad, 2017,"Manish Taneja, Rahul Dash",Finance,"15,000,000",Number of funding rounds: 3,51-100,Number of investors: 6
98,) Purplle, Mumbai, 2011,Raj Khosla,Beauty,"296,995,198",Number of funding rounds: 10,1001-5000,Number of investors: 15
99,) MyMoneyMantra, Delhi, 1989,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B",Consumer,"152,000,000",Number of funding rounds: 1,11-50,Number of investors: 2
100,) Blackbuck, Bengaluru, 2015,"Ankit Garg, Chaitanya Ramalingegowda",Information,"147,830,000",Number of funding rounds: 8,101-250,Number of investors: 13
101,) Wakefit, Bengaluru, 2016,Shan Kadavil,E-Commerce,"49,939,813",Number of funding rounds: 2,101-250,Number of investors: 3
102,) Freshtohome, Bengaluru, 2015,"Abhimanyu Dhamija, Abhishek Anand, Advitiya Sharma, Amrit Raj, Neeraj Bhunwal, Rahul Yadav, Ravish Naresh, Rishabh Agrawal, Sanat Ghosh, Saurabh Goyal, Snehil Buxy, Vaibhav Tolia",E-Commerce,"22,000,000",Number of funding rounds: 9,1001-5000,Number of investors: 23
103,) Housing.com, Gurgaon, 2012,"Aditya Shankar, Tanushree Nagori",Internet,"8,444,527",Number of funding rounds: 8,51-100,Number of investors: 16
104,) Doubtnut, Gurgaon, 2016,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath",E-Learning,"2,100,568",Number of funding rounds: 5,1-10,Number of investors: 10
105,) smallcase, Bengaluru, 2015,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain",Financial,"35,500,000",Number of funding rounds: 3,101-250,Number of investors: 11
106,) Instamojo, Bengaluru, 2012,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah",Business,"45,500,000",Number of funding rounds: 7,1001-5000,Number of investors: 14
107,) Zomato, Gurgaon, 2008,"Kaushik Mukherjee, Vineeta Singh",Food,"14,340,302",Number of funding rounds: 21,501-1000,Number of investors: 25
108,) SUGAR Cosmetics, Mumbai, 2012,"Chanchal Kurele, Paavan Nanda, Saumya Singh Rathore",Beauty,"23,450,864",Number of funding rounds: 3,1001-5000,Number of investors: 6
109,) WinZO, Delhi, 2018,"Anand Dalmia, Ramganesh ",Digital,"244,460,150",Number of funding rounds: 5,11-50,Number of investors: 12
110,) Chingari, Bengaluru, 2018,"Kamesh Goyal, Philip Varghese, Sriram Shankar, Vijay Kumar",Social,"261,193,454",Number of funding rounds: 5,51-100,Number of investors: 18
111,) Fisdom, Bengaluru, 2015,"Sanjay Sharma, Vikram Jetley",Advice,"268,701,257",Number of funding rounds: 6,101-250,Number of investors: 7
112,) Digit Insurance, Bengaluru, 2016,"Deepak Garg, Gazal Kalra",Finance,"4,506,066",Number of funding rounds: 5,11-50,Number of investors: 4
113,) Aye Finance, Gurgaon, 2014,"Anirudh Singla, Rishabh Shekhar",Finance,"10,392,793",Number of funding rounds: 23,251-500,Number of investors: 23
114,) Rivigo, Gurgaon, 2014,"Chirag Jain, Rasik Pansare",Automotive,"18,658,274",Number of funding rounds: 11,1001-5000,Number of investors: 6
115,) Pepper Content, Mumbai, 2017,"Shivani Poddar, Tanvi Malik",Content,"3,280,204",Number of funding rounds: 2,501-1000,Number of investors: 19
116,) Get My Parking, Delhi, 2015,"Alekh Sanghera, Lokesh Singh, Mehtab Singh Hans",Automotive,"48,785,217",Number of funding rounds: 5,101-250,Number of investors: 8
117,) FabAlley, Noida, 2012,"Ajit Narayanan, Arjun Choudhary, Ashutosh Lawania, Prasad Kompalli",E-Commerce,"56,506,662",Number of funding rounds: 8,251-500,Number of investors: 18
118,) FarMart, Gurgaon, 2015,"Ananth Narayanan, Prashanth Singh, Tushar Kumar",Agriculture,"257,504,119",Number of funding rounds: 4,251-500,Number of investors: 6
119,) mfine, Bengaluru, 2017,"Harshvardhan Lunia, Mukul Sachan",Apps,"6,000,000",Number of funding rounds: 6,51-100,Number of investors: 11
120,) Medlife, Bengaluru, 2014,"Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma",Information,"77,000,000",Number of funding rounds: 4,251-500,Number of investors: 3
121,) Lendingkart, Ahmedabad, 2014,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah",Finance,"485,392,829",Number of funding rounds: 12,101-250,Number of investors: 15
122,) Chqbook, Delhi, 2017,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan",Finance,"290,345,855",Number of funding rounds: 3,51-100,Number of investors: 8
123,) Turtlemint, Mumbai, 2015,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani",Financial,"23,000,000",Number of funding rounds: 5,1001-5000,Number of investors: 10
124,) Ecom Express, Delhi, 2012,"Venkat Malladi, Yamini Bhat",Delivery,"53,350,000",Number of funding rounds: 6,11-50,Number of investors: 4
125,) BharatPe, Delhi, 2018,"Gautam Kapoor, Saahil Goel, Vishesh Khurana",Apps,"35,000,000",Number of funding rounds: 7,251-500,Number of investors: 17
