,Company,Cities,Year of starting,FOUNDERS,Industries,Funding amount,Funding rounds,No of employees,No of investors
165,) BookMyShow, Mumbai, 1999,"Amit Singh, Deepanshu Malviya",Digital,"46,221,395",Number of funding rounds: 6,51-100,Number of investors: 6
166,) Embibe, Mumbai, 2012,"Amuleek Singh Bijral, Gaganjot Kaur",Content,"41,443,027",Number of funding rounds: 4,501-1000,Number of investors: 4
167,) Awign Enterprises, Bengaluru, 2016,"Ankush Aggarwal, Tushar Mehndiratta",Business,"45,000,000",Number of funding rounds: 5,251-500,Number of investors: 11
168,) ixigo, Gurgaon, 2006,Bhavin Turakhia,Mobile,"31,300,000",Number of funding rounds: 5,11-50,Number of investors: 6
169,) Shuttl, Gurgaon, 2015,"Kunal Sinha, Nilesh Padariya, Nitesh Pant, Shekhar Sahu, Sonal Verma",Apps,"63,359,735",Number of funding rounds: 13,11-50,Number of investors: 22
170,) Chai Point, Bengaluru, 2010,"Rama Harinath, Srikanth ",Food,"37,996,690",Number of funding rounds: 9,501-1000,Number of investors: 6
171,) Avail Finance, Bengaluru, 2017,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman",Finance,"24,628,092",Number of funding rounds: 5,251-500,Number of investors: 8
172,) Flock, Mumbai, 2014,"Ankit Parasher, Pushkar Singh, Sudarshan Ravi",Apps,"51,443,326",Number of funding rounds: 3,501-1000,Number of investors: 2
173,) GlowRoad, Bengaluru, 2017,"Hitesh Mohkar, Tushar Dhakate",E-Commerce,"742,000,000",Number of funding rounds: 4,11-50,Number of investors: 7
174,) HomeLane, Bengaluru, 2014,"Achal Mittal, Ajay Nain, Geetansh Bamania",Home,"69,002,120",Number of funding rounds: 9,501-1000,Number of investors: 12
175,) Wow! Momo, Kolkata, 2008,"Kapil Karekar, Richa Kar",Food,"434,009,213",Number of funding rounds: 5,1001-5000,Number of investors: 6
176,) LetsTransport, Bengaluru, 2015,"Umang Bedi, Virendra Gupta",Logistics,"5,500,000",Number of funding rounds: 8,251-500,Number of investors: 12
177,) Digital Class E-Learning Marketplace, Ahmedabad, 2017,"Neeraj Khandelwal, Sumit Gupta",B2B,"44,247,827",Number of funding rounds: 1,1001-5000,Number of investors: 19
178,) RentoMojo, Bengaluru, 2014,"Chakradhar Gade, Nitin Kaushal",E-Commerce,"115,000,000",Number of funding rounds: 14,101-250,Number of investors: 2
179,) SBI Life, Mumbai, 2001,"Adhil Shetty, Arjun Shetty, Rati Shetty",Financial,"21,556,985",Number of funding rounds: 1,101-250,Number of investors: 11
180,) Zivame.com, Bengaluru, 2011,"Anshul Rai, Varun Rathi",E-Commerce,"456,059,601",Number of funding rounds: 8,51-100,Number of investors: 22
181,) VerSe Innovation, Bengaluru, 2007,V K Ranganathan,Content,"17,612,830",Number of funding rounds: 20,1001-5000,Number of investors: 10
182,) CoinDCX, Mumbai, 2017,"Abhishek Humbad, Richa Bajpai",Blockchain,"26,700,000",Number of funding rounds: 3,51-100,Number of investors: 6
183,) Country Delight, , 2015,"Chaitra Chidanand, Nityanand Sharma",Agriculture,"257,002,291",Number of funding rounds: 9,251-500,Number of investors: 16
184,) BankBazaar.com, Chennai, 2008,"Lalit Aggarwal, Raghav Arora",E-Commerce,"7,000,000",Number of funding rounds: 6,1001-5000,Number of investors: 8
185,) Happay, Whitefield, 2012,"Radhika Aggarwal, Sandeep Aggarwal, Sanjay Sethi",Financial,"133,000,000",Number of funding rounds: 7,51-100,Number of investors: 8
186,) Five Star Business Finance, Kilpauk, 1984,"Saurabh Pandey, Varun Vohra",Banking,"32,668,662",Number of funding rounds: 7,101-250,Number of investors: 6
187,) Goodera, Bengaluru, 2014,Sandeep Aggarwal,Computer,"14,550,000",Number of funding rounds: 3,11-50,Number of investors: 5
188,) Simpl, Bengaluru, 2015,"Amit Raj, Anshul Gupta",E-Commerce,"32,599,576",Number of funding rounds: 3,101-250,Number of investors: 6
189,) F5 Refreshement, Delhi, 2018,"Rohan Bhargava, Swati Bhargava",Food,"26,000,000",Number of funding rounds: 2,101-250,Number of investors: 12
190,) ShopClues, Gurgaon, 2011,Krishna Kumar,E-Commerce,"56,417,592",Number of funding rounds: 11,51-100,Number of investors: 1
191,) Aknamed, Bengaluru, 2018,Jitendra Gupta,Health,"7,420,000",Number of funding rounds: 1,51-100,Number of investors: 10
192,) Droom, Haryana, 2014,"Amit Sharma, Apoorva Jois",Automotive,"7,000,000",Number of funding rounds: 7,1-10,Number of investors: 10
193,) Box8, Mumbai, 2012,"Shridhar Gupta, Vidit Jain",Delivery,"17,062,939",Number of funding rounds: 9,101-250,Number of investors: 3
